aearep,numbered_dir,readme_relpath,format,pages,words
aearep-9210,248452,AEJ_Replication_Package/README.pdf,pdf,6,1292
aearep-9263,247441,README.pdf,pdf,1,209
aearep-9278,246188,ReadMe.pdf,pdf,8,2206
aearep-9288,247343,README.pdf,pdf,6,1488
aearep-9354,247596,README.pdf,pdf,3,668
aearep-9378,247776,project/replication archive/README.pdf,pdf,1,257
aearep-9379,248023,Replication_package/README.md,md,,3580
aearep-9430,248179,README.pdf,pdf,10,1684
aearep-9519,248187,README.md,md,,3457
aearep-9671,249900,gn_jep_replication_package/README.md,md,,2473
aearep-9686,248021,ReadMe.pdf,pdf,10,2441
aearep-9752,249982,Replication_Package/README.pdf,pdf,4,679
aearep-9778,250176,readme.txt,txt,,37
aearep-9854,251118,Replication Package AGM26 - Public/README.pdf,pdf,8,2941
aearep-10033,251582,README.pdf,pdf,17,3874
aearep-10042,251522,Latvia/aea_package_lv/README.md,md,,2185
